"","State","county","fips","pred","with_without"
"3189","Idaho","Jefferson County",16051,-17.9135173193359,"without"
"3190","Idaho","Jerome County",16053,-22.3575158956932,"without"
"3191","Idaho","Kootenai County",16055,-17.2476928178452,"without"
"3192","Idaho","Latah County",16057,-13.0642002262237,"without"
"3193","Idaho","Lemhi County",16059,NA,"without"
"3194","Idaho","Lewis County",16061,NA,"without"
"3195","Idaho","Lincoln County",16063,NA,"without"
"3196","Idaho","Madison County",16065,-11.3147078121296,"without"
"3197","Idaho","Minidoka County",16067,-20.2118066426677,"without"
"3198","Idaho","Nez Perce County",16069,-16.3460629388026,"without"
"3199","Idaho","Oneida County",16071,NA,"without"
"3200","Idaho","Owyhee County",16073,-19.5958714456941,"without"
"3201","Idaho","Payette County",16075,-18.466369427317,"without"
"3202","Idaho","Power County",16077,NA,"without"
"3203","Idaho","Shoshone County",16079,NA,"without"
"3204","Idaho","Teton County",16081,-14.2769402842486,"without"
"3205","Idaho","Twin Falls County",16083,-19.8893578875046,"without"
"3206","Idaho","Valley County",16085,-9.78332080317847,"without"
"3207","Idaho","Washington County",16087,-12.3697791504567,"without"
"3208","Illinois","Adams County",17001,-17.4990035922193,"without"
"3209","Illinois","Alexander County",17003,NA,"without"
"3210","Illinois","Bond County",17005,-14.5160580916845,"without"
"3211","Illinois","Boone County",17007,-19.1008927059561,"without"
"3212","Illinois","Brown County",17009,NA,"without"
"3213","Illinois","Bureau County",17011,-15.6716296414261,"without"
"3214","Illinois","Calhoun County",17013,NA,"without"
"3215","Illinois","Carroll County",17015,-15.9725280082089,"without"
"3216","Illinois","Cass County",17017,-15.0718657735783,"without"
"3217","Illinois","Champaign County",17019,-11.7936952640343,"without"
"3218","Illinois","Christian County",17021,-15.2722681862102,"without"
"3219","Illinois","Clark County",17023,-15.7939045453842,"without"
"3220","Illinois","Clay County",17025,-15.0502272947737,"without"
"3221","Illinois","Clinton County",17027,-16.9974295243566,"without"
"3222","Illinois","Coles County",17029,-13.5303127731387,"without"
"3223","Illinois","Cook County",17031,-17.292519866802,"without"
