,county_state
284,"Burlington County, New Jersey"
285,"Burnet County, Texas"
286,"Burnett County, Wisconsin"
287,"Burt County, Nebraska"
288,"Butler County, Alabama"
289,"Butler County, Iowa"
290,"Butler County, Kansas"
291,"Butler County, Kentucky"
292,"Butler County, Missouri"
293,"Butler County, Nebraska"
294,"Butler County, Ohio"
295,"Butler County, Pennsylvania"
296,"Butte County, California"
297,"Butte County, South Dakota"
298,"Butts County, Georgia"
299,"Cabarrus County, North Carolina"
300,"Cabell County, West Virginia"
301,"Cache County, Utah"
302,"Caddo County, Louisiana"
303,"Caddo County, Oklahoma"
304,"Calaveras County, California"
305,"Calcasieu County, Louisiana"
306,"Caldwell County, Kentucky"
307,"Caldwell County, Louisiana"
308,"Caldwell County, Missouri"
309,"Caldwell County, North Carolina"
310,"Caldwell County, Texas"
311,"Caledonia County, Vermont"
312,"Calhoun County, Alabama"
313,"Calhoun County, Florida"
314,"Calhoun County, Iowa"
315,"Calhoun County, Michigan"
316,"Calhoun County, Mississippi"
317,"Calhoun County, South Carolina"
318,"Calhoun County, Texas"
319,"Callahan County, Texas"
320,"Callaway County, Missouri"
321,"Calloway County, Kentucky"
322,"Calumet County, Wisconsin"
323,"Calvert County, Maryland"
324,"Cambria County, Pennsylvania"
325,"Camden County, Georgia"
326,"Camden County, Missouri"
327,"Camden County, New Jersey"
328,"Camden County, North Carolina"
329,"Cameron County, Louisiana"
330,"Cameron County, Texas"
331,"Camp County, Texas"
332,"Campbell County, Kentucky"
333,"Campbell County, Tennessee"
334,"Campbell County, Virginia"
335,"Campbell County, Wyoming"
336,"Canadian County, Oklahoma"
337,"Candler County, Georgia"
338,"Cannon County, Tennessee"
339,"Canyon County, Idaho"
340,"Cape Girardeau County, Missouri"
341,"Cape May County, New Jersey"
342,"Carbon County, Montana"
343,"Carbon County, Pennsylvania"
344,"Carbon County, Utah"
345,"Carbon County, Wyoming"
346,"Caribou County, Idaho"
347,"Carlton County, Minnesota"
348,"Caroline County, Maryland"
349,"Caroline County, Virginia"
350,"Carroll County, Arkansas"
351,"Carroll County, Georgia"
352,"Carroll County, Illinois"
353,"Carroll County, Indiana"
354,"Carroll County, Iowa"
355,"Carroll County, Kentucky"
356,"Carroll County, Maryland"
357,"Carroll County, Mississippi"
358,"Carroll County, Missouri"
359,"Carroll County, New Hampshire"
360,"Carroll County, Ohio"
361,"Carroll County, Tennessee"
362,"Carroll County, Virginia"
363,"Carson City, Nevada"
364,"Carson County, Texas"
365,"Carter County, Kentucky"
366,"Carter County, Oklahoma"
367,"Carter County, Tennessee"
368,"Carteret County, North Carolina"
369,"Carver County, Minnesota"
370,"Cascade County, Montana"
371,"Casey County, Kentucky"
372,"Cass County, Illinois"
373,"Cass County, Indiana"
374,"Cass County, Iowa"
375,"Cass County, Michigan"
376,"Cass County, Minnesota"
377,"Cass County, Missouri"
378,"Cass County, Nebraska"
379,"Cass County, North Dakota"
380,"Cass County, Texas"
381,"Cassia County, Idaho"
382,"Castro County, Texas"
383,"Caswell County, North Carolina"
384,"Catahoula County, Louisiana"
385,"Catawba County, North Carolina"
386,"Catoosa County, Georgia"
387,"Cattaraugus County, New York"
388,"Cayuga County, New York"
389,"Cecil County, Maryland"
390,"Cedar County, Iowa"
391,"Cedar County, Missouri"
392,"Cedar County, Nebraska"
393,"Centre County, Pennsylvania"
394,"Cerro Gordo County, Iowa"
395,"Chaffee County, Colorado"
396,"Chambers County, Alabama"
397,"Chambers County, Texas"
398,"Champaign County, Illinois"
399,"Champaign County, Ohio"
400,"Chariton County, Missouri"
401,"Charles City County, Virginia"
402,"Charles County, Maryland"
403,"Charles Mix County, South Dakota"
404,"Charleston County, South Carolina"
405,"Charlevoix County, Michigan"
406,"Charlotte County, Florida"
407,"Charlotte County, Virginia"
408,"Charlottesville city, Virginia"
409,"Charlton County, Georgia"
410,"Chatham County, Georgia"
411,"Chatham County, North Carolina"
412,"Chattahoochee County, Georgia"
413,"Chattooga County, Georgia"
414,"Chautauqua County, New York"
415,"Chaves County, New Mexico"
416,"Cheatham County, Tennessee"
417,"Cheboygan County, Michigan"
418,"Chelan County, Washington"
419,"Chemung County, New York"
420,"Chenango County, New York"
421,"Cherokee County, Alabama"
422,"Cherokee County, Georgia"
423,"Cherokee County, Iowa"
424,"Cherokee County, Kansas"
425,"Cherokee County, North Carolina"
426,"Cherokee County, Oklahoma"
427,"Cherokee County, South Carolina"
428,"Cherokee County, Texas"
429,"Cherry County, Nebraska"
430,"Chesapeake city, Virginia"
431,"Cheshire County, New Hampshire"
432,"Chester County, Pennsylvania"
433,"Chester County, South Carolina"
434,"Chester County, Tennessee"
435,"Chesterfield County, South Carolina"
436,"Chesterfield County, Virginia"
437,"Cheyenne County, Nebraska"
438,"Chickasaw County, Iowa"
439,"Chickasaw County, Mississippi"
440,"Chicot County, Arkansas"
441,"Childress County, Texas"
442,"Chilton County, Alabama"
443,"Chippewa County, Michigan"
444,"Chippewa County, Minnesota"
445,"Chippewa County, Wisconsin"
446,"Chisago County, Minnesota"
447,"Chittenden County, Vermont"
448,"Choctaw County, Alabama"
449,"Choctaw County, Oklahoma"
450,"Chowan County, North Carolina"
451,"Christian County, Illinois"
452,"Christian County, Kentucky"
453,"Christian County, Missouri"
454,"Churchill County, Nevada"
455,"Cibola County, New Mexico"
456,"Citrus County, Florida"
457,"Clackamas County, Oregon"
458,"Claiborne County, Louisiana"
459,"Claiborne County, Mississippi"
460,"Claiborne County, Tennessee"
461,"Clallam County, Washington"
462,"Clare County, Michigan"
463,"Clarendon County, South Carolina"
464,"Clarion County, Pennsylvania"
465,"Clark County, Arkansas"
466,"Clark County, Illinois"
467,"Clark County, Indiana"
468,"Clark County, Kentucky"
469,"Clark County, Missouri"
470,"Clark County, Nevada"
471,"Clark County, Ohio"
472,"Clark County, Washington"
473,"Clark County, Wisconsin"
474,"Clarke County, Alabama"
475,"Clarke County, Georgia"
476,"Clarke County, Iowa"
477,"Clarke County, Mississippi"
478,"Clarke County, Virginia"
479,"Clatsop County, Oregon"
480,"Clay County, Alabama"
481,"Clay County, Arkansas"
482,"Clay County, Florida"
483,"Clay County, Illinois"
484,"Clay County, Indiana"
485,"Clay County, Iowa"
486,"Clay County, Kansas"
487,"Clay County, Kentucky"
488,"Clay County, Minnesota"
489,"Clay County, Mississippi"
490,"Clay County, Missouri"
491,"Clay County, Nebraska"
492,"Clay County, North Carolina"
493,"Clay County, South Dakota"
494,"Clay County, Tennessee"
495,"Clay County, Texas"
496,"Clayton County, Georgia"
497,"Clayton County, Iowa"
498,"Clear Creek County, Colorado"
499,"Clearfield County, Pennsylvania"
500,"Clearwater County, Idaho"
501,"Clearwater County, Minnesota"
502,"Cleburne County, Alabama"
503,"Cleburne County, Arkansas"
504,"Clermont County, Ohio"
505,"Cleveland County, Arkansas"
506,"Cleveland County, North Carolina"
507,"Cleveland County, Oklahoma"
508,"Clinch County, Georgia"
509,"Clinton County, Illinois"
510,"Clinton County, Indiana"
511,"Clinton County, Iowa"
512,"Clinton County, Kentucky"
513,"Clinton County, Michigan"
514,"Clinton County, Missouri"
515,"Clinton County, New York"
516,"Clinton County, Ohio"
517,"Clinton County, Pennsylvania"
518,"Cloud County, Kansas"
519,"Coahoma County, Mississippi"
520,"Coal County, Oklahoma"
521,"Cobb County, Georgia"
522,"Cochise County, Arizona"
523,"Cocke County, Tennessee"
524,"Coconino County, Arizona"
525,"Codington County, South Dakota"
526,"Coffee County, Alabama"
527,"Coffee County, Georgia"
528,"Coffee County, Tennessee"
529,"Coffey County, Kansas"
530,"Coke County, Texas"
531,"Colbert County, Alabama"
532,"Cole County, Missouri"
533,"Coleman County, Texas"
534,"Coles County, Illinois"
535,"Colfax County, Nebraska"
536,"Colfax County, New Mexico"
537,"Colleton County, South Carolina"
538,"Collier County, Florida"
539,"Collin County, Texas"
540,"Colonial Heights city, Virginia"
541,"Colorado County, Texas"
542,"Colquitt County, Georgia"
543,"Columbia County, Arkansas"
544,"Columbia County, Florida"
545,"Columbia County, Georgia"
546,"Columbia County, New York"
547,"Columbia County, Oregon"
548,"Columbia County, Pennsylvania"
549,"Columbia County, Wisconsin"
550,"Columbiana County, Ohio"
551,"Columbus County, North Carolina"
552,"Colusa County, California"
553,"Comal County, Texas"
554,"Comanche County, Oklahoma"
555,"Comanche County, Texas"
556,"Concordia County, Louisiana"
557,"Conecuh County, Alabama"
558,"Conejos County, Colorado"
559,"Contra Costa County, California"
560,"Converse County, Wyoming"
561,"Conway County, Arkansas"
562,"Cook County, Georgia"
563,"Cook County, Illinois"
564,"Cook County, Minnesota"
565,"Cooke County, Texas"
566,"Cooper County, Missouri"
567,"Coos County, New Hampshire"
568,"Coos County, Oregon"
569,"Coosa County, Alabama"
570,"Copiah County, Mississippi"
571,"Cortland County, New York"
572,"Coryell County, Texas"
573,"Coshocton County, Ohio"
574,"Cotton County, Oklahoma"
575,"Cottonwood County, Minnesota"
576,"Covington city, Virginia"
577,"Covington County, Alabama"
578,"Covington County, Mississippi"
579,"Coweta County, Georgia"
580,"Cowley County, Kansas"
581,"Cowlitz County, Washington"
582,"Craig County, Oklahoma"
583,"Craig County, Virginia"
584,"Craighead County, Arkansas"
585,"Crane County, Texas"
586,"Craven County, North Carolina"
587,"Crawford County, Arkansas"
588,"Crawford County, Georgia"
589,"Crawford County, Illinois"
590,"Crawford County, Indiana"
591,"Crawford County, Iowa"
592,"Crawford County, Kansas"
593,"Crawford County, Michigan"
594,"Crawford County, Missouri"
595,"Crawford County, Ohio"
596,"Crawford County, Pennsylvania"
597,"Crawford County, Wisconsin"
598,"Creek County, Oklahoma"
599,"Crenshaw County, Alabama"
600,"Crisp County, Georgia"
601,"Crittenden County, Arkansas"
602,"Crittenden County, Kentucky"
603,"Crockett County, Tennessee"
604,"Crockett County, Texas"
605,"Crook County, Oregon"
606,"Crook County, Wyoming"
607,"Crosby County, Texas"
608,"Cross County, Arkansas"
609,"Crow Wing County, Minnesota"
610,"Culberson County, Texas"
611,"Cullman County, Alabama"
612,"Culpeper County, Virginia"
613,"Cumberland County, Illinois"
614,"Cumberland County, Maine"
615,"Cumberland County, New Jersey"
616,"Cumberland County, North Carolina"
617,"Cumberland County, Pennsylvania"
618,"Cumberland County, Tennessee"
619,"Cumberland County, Virginia"
620,"Cuming County, Nebraska"
621,"Currituck County, North Carolina"
622,"Curry County, New Mexico"
623,"Curry County, Oregon"
624,"Custer County, Montana"
625,"Custer County, Nebraska"
626,"Custer County, Oklahoma"
627,"Custer County, South Dakota"
628,"Cuyahoga County, Ohio"
629,"Dade County, Georgia"
630,"Dade County, Missouri"
631,"Dakota County, Minnesota"
632,"Dakota County, Nebraska"
633,"Dale County, Alabama"
634,"Dallam County, Texas"
635,"Dallas County, Alabama"
636,"Dallas County, Arkansas"
637,"Dallas County, Iowa"
638,"Dallas County, Missouri"
639,"Dallas County, Texas"
640,"Dane County, Wisconsin"
641,"Danville city, Virginia"
642,"Dare County, North Carolina"
643,"Darke County, Ohio"
644,"Darlington County, South Carolina"
645,"Dauphin County, Pennsylvania"
646,"Davidson County, North Carolina"
647,"Davidson County, Tennessee"
648,"Davie County, North Carolina"
649,"Daviess County, Indiana"
650,"Daviess County, Kentucky"
651,"Daviess County, Missouri"
652,"Davis County, Iowa"
653,"Davis County, Utah"
654,"Davison County, South Dakota"
655,"Dawes County, Nebraska"
656,"Dawson County, Georgia"
657,"Dawson County, Montana"
658,"Dawson County, Nebraska"
659,"Dawson County, Texas"
660,"De Soto County, Louisiana"
661,"De Witt County, Illinois"
662,"Deaf Smith County, Texas"
663,"Dearborn County, Indiana"
664,"Decatur County, Georgia"
665,"Decatur County, Indiana"
666,"Decatur County, Iowa"
667,"Decatur County, Tennessee"
668,"Deer Lodge County, Montana"
669,"Defiance County, Ohio"
670,"DeKalb County, Alabama"
671,"DeKalb County, Georgia"
672,"DeKalb County, Illinois"
673,"DeKalb County, Indiana"
674,"DeKalb County, Missouri"
675,"DeKalb County, Tennessee"
676,"Del Norte County, California"
677,"Delaware County, Indiana"
678,"Delaware County, Iowa"
679,"Delaware County, New York"
680,"Delaware County, Ohio"
681,"Delaware County, Oklahoma"
682,"Delaware County, Pennsylvania"
683,"Delta County, Colorado"
684,"Delta County, Michigan"
685,"Delta County, Texas"
686,"Dent County, Missouri"
687,"Denton County, Texas"
688,"Denver County, Colorado"
689,"Des Moines County, Iowa"
690,"Deschutes County, Oregon"
691,"Desha County, Arkansas"
692,"DeSoto County, Florida"
693,"DeSoto County, Mississippi"
694,"Deuel County, Nebraska"
695,"Dewey County, South Dakota"
696,"DeWitt County, Texas"
697,"Dickenson County, Virginia"
698,"Dickinson County, Iowa"
699,"Dickinson County, Kansas"
700,"Dickinson County, Michigan"
701,"Dickson County, Tennessee"
702,"Dillon County, South Carolina"
703,"Dimmit County, Texas"
704,"Dinwiddie County, Virginia"
705,"Dixie County, Florida"
706,"Dixon County, Nebraska"
707,"Dodge County, Georgia"
708,"Dodge County, Minnesota"
709,"Dodge County, Nebraska"
710,"Dodge County, Wisconsin"
711,"Dona Ana County, New Mexico"
712,"Doniphan County, Kansas"
713,"Donley County, Texas"
714,"Dooly County, Georgia"
715,"Door County, Wisconsin"
716,"Dorchester County, Maryland"
717,"Dorchester County, South Carolina"
718,"Dougherty County, Georgia"
719,"Douglas County, Colorado"
720,"Douglas County, Georgia"
721,"Douglas County, Illinois"
722,"Douglas County, Kansas"
723,"Douglas County, Minnesota"
724,"Douglas County, Missouri"
725,"Douglas County, Nebraska"
726,"Douglas County, Nevada"
727,"Douglas County, Oregon"
728,"Douglas County, Washington"
729,"Douglas County, Wisconsin"
730,"Drew County, Arkansas"
731,"Dubois County, Indiana"
732,"Dubuque County, Iowa"
733,"Duchesne County, Utah"
734,"Dukes County, Massachusetts"
735,"Dunklin County, Missouri"
736,"Dunn County, North Dakota"
737,"Dunn County, Wisconsin"
738,"DuPage County, Illinois"
739,"Duplin County, North Carolina"
740,"Durham County, North Carolina"
741,"Dutchess County, New York"
742,"Duval County, Florida"
743,"Duval County, Texas"
744,"Dyer County, Tennessee"
745,"Eagle County, Colorado"
746,"Early County, Georgia"
747,"East Baton Rouge County, Louisiana"
748,"East Feliciana County, Louisiana"
749,"Eastland County, Texas"
750,"Eaton County, Michigan"
751,"Eau Claire County, Wisconsin"
752,"Ector County, Texas"
753,"Eddy County, New Mexico"
754,"Edgar County, Illinois"
755,"Edgecombe County, North Carolina"
756,"Edgefield County, South Carolina"
757,"Edmonson County, Kentucky"
758,"Edwards County, Illinois"
759,"Effingham County, Georgia"
760,"Effingham County, Illinois"
761,"El Dorado County, California"
762,"El Paso County, Colorado"
763,"El Paso County, Texas"
764,"Elbert County, Colorado"
765,"Elbert County, Georgia"
766,"Elk County, Pennsylvania"
767,"Elkhart County, Indiana"
768,"Elko County, Nevada"
769,"Ellis County, Kansas"
770,"Ellis County, Texas"
771,"Ellsworth County, Kansas"
772,"Elmore County, Alabama"
773,"Elmore County, Idaho"
774,"Emanuel County, Georgia"
775,"Emery County, Utah"
776,"Emmet County, Iowa"
777,"Emmet County, Michigan"
778,"Emporia city, Virginia"
779,"Erath County, Texas"
780,"Erie County, New York"
781,"Erie County, Ohio"
782,"Erie County, Pennsylvania"
783,"Escambia County, Alabama"
784,"Escambia County, Florida"
785,"Essex County, Massachusetts"
786,"Essex County, New Jersey"
787,"Essex County, New York"
788,"Essex County, Vermont"
789,"Essex County, Virginia"
790,"Estill County, Kentucky"
791,"Etowah County, Alabama"
792,"Evangeline County, Louisiana"
793,"Evans County, Georgia"
794,"Fairfax city, Virginia"
795,"Fairfax County, Virginia"
796,"Fairfield County, Connecticut"
797,"Fairfield County, Ohio"
798,"Fairfield County, South Carolina"
799,"Fall River County, South Dakota"
800,"Falls Church city, Virginia"
801,"Falls County, Texas"
802,"Fannin County, Georgia"
803,"Fannin County, Texas"
804,"Faribault County, Minnesota"
805,"Faulkner County, Arkansas"
806,"Fauquier County, Virginia"
807,"Fayette County, Alabama"
808,"Fayette County, Georgia"
809,"Fayette County, Illinois"
810,"Fayette County, Indiana"
811,"Fayette County, Iowa"
812,"Fayette County, Kentucky"
813,"Fayette County, Ohio"
814,"Fayette County, Pennsylvania"
815,"Fayette County, Tennessee"
816,"Fayette County, Texas"
817,"Fayette County, West Virginia"
818,"Fentress County, Tennessee"
819,"Fergus County, Montana"
820,"Ferry County, Washington"
821,"Fillmore County, Minnesota"
822,"Fillmore County, Nebraska"
823,"Finney County, Kansas"
824,"Flagler County, Florida"
825,"Flathead County, Montana"
826,"Fleming County, Kentucky"
827,"Florence County, South Carolina"
828,"Florence County, Wisconsin"
829,"Floyd County, Georgia"
830,"Floyd County, Indiana"
831,"Floyd County, Iowa"
832,"Floyd County, Kentucky"
833,"Floyd County, Texas"
834,"Floyd County, Virginia"
835,"Fluvanna County, Virginia"
836,"Fond du Lac County, Wisconsin"
837,"Ford County, Illinois"
838,"Ford County, Kansas"
839,"Forest County, Wisconsin"
840,"Forrest County, Mississippi"
841,"Forsyth County, Georgia"
842,"Forsyth County, North Carolina"
843,"Fort Bend County, Texas"
844,"Fountain County, Indiana"
845,"Franklin city, Virginia"
846,"Franklin County, Alabama"
847,"Franklin County, Arkansas"
848,"Franklin County, Florida"
849,"Franklin County, Georgia"
850,"Franklin County, Idaho"
851,"Franklin County, Illinois"
852,"Franklin County, Indiana"
853,"Franklin County, Iowa"
854,"Franklin County, Kansas"
855,"Franklin County, Kentucky"
856,"Franklin County, Louisiana"
857,"Franklin County, Maine"
858,"Franklin County, Massachusetts"
859,"Franklin County, Missouri"
860,"Franklin County, New York"
861,"Franklin County, North Carolina"
862,"Franklin County, Ohio"
863,"Franklin County, Pennsylvania"
864,"Franklin County, Tennessee"
865,"Franklin County, Texas"
866,"Franklin County, Vermont"
867,"Franklin County, Virginia"
868,"Franklin County, Washington"
869,"Frederick County, Maryland"
870,"Frederick County, Virginia"
871,"Fredericksburg city, Virginia"
872,"Freeborn County, Minnesota"
873,"Freestone County, Texas"
874,"Fremont County, Colorado"
875,"Fremont County, Idaho"
876,"Fremont County, Iowa"
877,"Fremont County, Wyoming"
878,"Fresno County, California"
879,"Frio County, Texas"
880,"Fulton County, Arkansas"
881,"Fulton County, Georgia"
882,"Fulton County, Illinois"
883,"Fulton County, Indiana"
884,"Fulton County, Kentucky"
885,"Fulton County, New York"
886,"Fulton County, Ohio"
887,"Fulton County, Pennsylvania"
888,"Gadsden County, Florida"
889,"Gage County, Nebraska"
890,"Gaines County, Texas"
891,"Galax city, Virginia"
892,"Gallatin County, Kentucky"
893,"Gallatin County, Montana"
894,"Gallia County, Ohio"
895,"Galveston County, Texas"
896,"Garfield County, Colorado"
897,"Garfield County, Oklahoma"
898,"Garfield County, Utah"
899,"Garland County, Arkansas"
900,"Garrard County, Kentucky"
901,"Garrett County, Maryland"
902,"Garvin County, Oklahoma"
903,"Garza County, Texas"
904,"Gasconade County, Missouri"
905,"Gaston County, North Carolina"
906,"Gates County, North Carolina"
907,"Geary County, Kansas"
908,"Geauga County, Ohio"
909,"Gem County, Idaho"
910,"Genesee County, Michigan"
