,county_state
1770,"Morgan County, Missouri"
1771,"Morgan County, Ohio"
1772,"Morgan County, Tennessee"
1773,"Morgan County, Utah"
1774,"Morgan County, West Virginia"
1775,"Morrill County, Nebraska"
1776,"Morris County, Kansas"
1777,"Morris County, New Jersey"
1778,"Morris County, Texas"
1779,"Morrison County, Minnesota"
1780,"Morrow County, Ohio"
1781,"Morrow County, Oregon"
1782,"Morton County, North Dakota"
1783,"Moultrie County, Illinois"
1784,"Mountrail County, North Dakota"
1785,"Mower County, Minnesota"
1786,"Muhlenberg County, Kentucky"
1787,"Multnomah County, Oregon"
1788,"Murray County, Georgia"
1789,"Murray County, Minnesota"
1790,"Murray County, Oklahoma"
1791,"Muscatine County, Iowa"
1792,"Muscogee County, Georgia"
1793,"Muskegon County, Michigan"
1794,"Muskingum County, Ohio"
1795,"Muskogee County, Oklahoma"
1796,"Nacogdoches County, Texas"
1797,"Nantucket County, Massachusetts"
1798,"Napa County, California"
1799,"Nash County, North Carolina"
1800,"Nassau County, Florida"
1801,"Nassau County, New York"
1802,"Natchitoches County, Louisiana"
1803,"Natrona County, Wyoming"
1804,"Navajo County, Arizona"
1805,"Navarro County, Texas"
1806,"Nelson County, Kentucky"
1807,"Nelson County, Virginia"
1808,"Nemaha County, Kansas"
1809,"Nemaha County, Nebraska"
1810,"Neosho County, Kansas"
1811,"Neshoba County, Mississippi"
1812,"Nevada County, Arkansas"
1813,"Nevada County, California"
1814,"New Castle County, Delaware"
1815,"New Hanover County, North Carolina"
1816,"New Haven County, Connecticut"
1817,"New Kent County, Virginia"
1818,"New London County, Connecticut"
1819,"New Madrid County, Missouri"
1820,"New York County, New York"
1821,"Newaygo County, Michigan"
1822,"Newberry County, South Carolina"
1823,"Newport County, Rhode Island"
1824,"Newport News city, Virginia"
1825,"Newton County, Arkansas"
1826,"Newton County, Georgia"
1827,"Newton County, Indiana"
1828,"Newton County, Mississippi"
1829,"Newton County, Missouri"
1830,"Newton County, Texas"
1831,"Nez Perce County, Idaho"
1832,"Niagara County, New York"
1833,"Nicholas County, Kentucky"
1834,"Nicholas County, West Virginia"
1835,"Nicollet County, Minnesota"
1836,"Noble County, Indiana"
1837,"Noble County, Ohio"
1838,"Noble County, Oklahoma"
1839,"Nobles County, Minnesota"
1840,"Nodaway County, Missouri"
1841,"Nolan County, Texas"
1842,"Norfolk city, Virginia"
1843,"Norfolk County, Massachusetts"
1844,"Norman County, Minnesota"
1845,"Northampton County, North Carolina"
1846,"Northampton County, Pennsylvania"
1847,"Northampton County, Virginia"
1848,"Northumberland County, Pennsylvania"
1849,"Northumberland County, Virginia"
1850,"Norton city, Virginia"
1851,"Nottoway County, Virginia"
1852,"Nowata County, Oklahoma"
1853,"Noxubee County, Mississippi"
1854,"Nueces County, Texas"
1855,"Nye County, Nevada"
1856,"Oakland County, Michigan"
1857,"Obion County, Tennessee"
1858,"Ocean County, New Jersey"
1859,"Oceana County, Michigan"
1860,"Ochiltree County, Texas"
1861,"Oconee County, Georgia"
1862,"Oconee County, South Carolina"
1863,"Oconto County, Wisconsin"
1864,"Ogemaw County, Michigan"
1865,"Ogle County, Illinois"
1866,"Oglethorpe County, Georgia"
1867,"Ohio County, Indiana"
1868,"Ohio County, Kentucky"
1869,"Ohio County, West Virginia"
1870,"Okaloosa County, Florida"
1871,"Okanogan County, Washington"
1872,"Okeechobee County, Florida"
1873,"Okfuskee County, Oklahoma"
1874,"Oklahoma County, Oklahoma"
1875,"Okmulgee County, Oklahoma"
1876,"Oktibbeha County, Mississippi"
1877,"Oldham County, Kentucky"
1878,"Oldham County, Texas"
1879,"Olmsted County, Minnesota"
1880,"Oneida County, Idaho"
1881,"Oneida County, New York"
1882,"Oneida County, Wisconsin"
1883,"Onondaga County, New York"
1884,"Onslow County, North Carolina"
1885,"Ontario County, New York"
1886,"Ontonagon County, Michigan"
1887,"Orange County, California"
1888,"Orange County, Florida"
1889,"Orange County, Indiana"
1890,"Orange County, New York"
1891,"Orange County, North Carolina"
1892,"Orange County, Texas"
1893,"Orange County, Vermont"
1894,"Orange County, Virginia"
1895,"Orangeburg County, South Carolina"
1896,"Oregon County, Missouri"
1897,"Orleans County, Louisiana"
1898,"Orleans County, New York"
1899,"Orleans County, Vermont"
1900,"Osage County, Kansas"
1901,"Osage County, Missouri"
1902,"Osage County, Oklahoma"
1903,"Osceola County, Florida"
1904,"Osceola County, Iowa"
1905,"Osceola County, Michigan"
1906,"Oscoda County, Michigan"
1907,"Oswego County, New York"
1908,"Otero County, Colorado"
1909,"Otero County, New Mexico"
1910,"Otoe County, Nebraska"
1911,"Otsego County, Michigan"
1912,"Otsego County, New York"
1913,"Ottawa County, Kansas"
1914,"Ottawa County, Michigan"
1915,"Ottawa County, Ohio"
1916,"Ottawa County, Oklahoma"
1917,"Otter Tail County, Minnesota"
1918,"Ouachita County, Arkansas"
1919,"Ouachita County, Louisiana"
1920,"Ouray County, Colorado"
1921,"Outagamie County, Wisconsin"
1922,"Overton County, Tennessee"
1923,"Owen County, Indiana"
1924,"Owen County, Kentucky"
1925,"Owyhee County, Idaho"
1926,"Oxford County, Maine"
1927,"Ozark County, Missouri"
1928,"Ozaukee County, Wisconsin"
1929,"Pacific County, Washington"
1930,"Page County, Iowa"
1931,"Page County, Virginia"
1932,"Palm Beach County, Florida"
1933,"Palo Alto County, Iowa"
1934,"Palo Pinto County, Texas"
1935,"Pamlico County, North Carolina"
1936,"Panola County, Mississippi"
1937,"Panola County, Texas"
1938,"Park County, Colorado"
1939,"Park County, Montana"
1940,"Park County, Wyoming"
1941,"Parke County, Indiana"
1942,"Parker County, Texas"
1943,"Parmer County, Texas"
1944,"Pasco County, Florida"
1945,"Pasquotank County, North Carolina"
1946,"Passaic County, New Jersey"
1947,"Patrick County, Virginia"
1948,"Paulding County, Georgia"
1949,"Paulding County, Ohio"
1950,"Pawnee County, Kansas"
1951,"Pawnee County, Oklahoma"
1952,"Payette County, Idaho"
1953,"Payne County, Oklahoma"
1954,"Peach County, Georgia"
1955,"Pearl River County, Mississippi"
1956,"Pecos County, Texas"
1957,"Pembina County, North Dakota"
1958,"Pemiscot County, Missouri"
1959,"Pend Oreille County, Washington"
1960,"Pender County, North Carolina"
1961,"Pendleton County, Kentucky"
1962,"Pennington County, Minnesota"
1963,"Pennington County, South Dakota"
1964,"Penobscot County, Maine"
1965,"Peoria County, Illinois"
1966,"Pepin County, Wisconsin"
1967,"Perquimans County, North Carolina"
1968,"Perry County, Alabama"
1969,"Perry County, Arkansas"
1970,"Perry County, Illinois"
1971,"Perry County, Indiana"
1972,"Perry County, Kentucky"
1973,"Perry County, Mississippi"
1974,"Perry County, Missouri"
1975,"Perry County, Ohio"
1976,"Perry County, Pennsylvania"
1977,"Perry County, Tennessee"
1978,"Pershing County, Nevada"
1979,"Person County, North Carolina"
1980,"Petersburg city, Virginia"
1981,"Pettis County, Missouri"
1982,"Phelps County, Missouri"
1983,"Phelps County, Nebraska"
1984,"Philadelphia County, Pennsylvania"
1985,"Phillips County, Arkansas"
1986,"Piatt County, Illinois"
1987,"Pickaway County, Ohio"
1988,"Pickens County, Alabama"
1989,"Pickens County, Georgia"
1990,"Pickens County, South Carolina"
1991,"Pierce County, Georgia"
1992,"Pierce County, Nebraska"
1993,"Pierce County, Washington"
1994,"Pierce County, Wisconsin"
1995,"Pike County, Alabama"
1996,"Pike County, Arkansas"
1997,"Pike County, Georgia"
1998,"Pike County, Illinois"
1999,"Pike County, Indiana"
2000,"Pike County, Kentucky"
2001,"Pike County, Mississippi"
2002,"Pike County, Missouri"
2003,"Pike County, Ohio"
2004,"Pike County, Pennsylvania"
2005,"Pima County, Arizona"
2006,"Pinal County, Arizona"
2007,"Pine County, Minnesota"
2008,"Pinellas County, Florida"
2009,"Pipestone County, Minnesota"
2010,"Piscataquis County, Maine"
2011,"Pitkin County, Colorado"
2012,"Pitt County, North Carolina"
2013,"Pittsburg County, Oklahoma"
2014,"Pittsylvania County, Virginia"
2015,"Placer County, California"
2016,"Plaquemines County, Louisiana"
2017,"Platte County, Missouri"
2018,"Platte County, Nebraska"
2019,"Platte County, Wyoming"
2020,"Pleasants County, West Virginia"
2021,"Plumas County, California"
2022,"Plymouth County, Iowa"
2023,"Plymouth County, Massachusetts"
2024,"Pocahontas County, Iowa"
2025,"Pocahontas County, West Virginia"
2026,"Poinsett County, Arkansas"
2027,"Pointe Coupee County, Louisiana"
2028,"Polk County, Arkansas"
2029,"Polk County, Florida"
2030,"Polk County, Georgia"
2031,"Polk County, Iowa"
2032,"Polk County, Minnesota"
2033,"Polk County, Missouri"
2034,"Polk County, Nebraska"
2035,"Polk County, North Carolina"
2036,"Polk County, Oregon"
2037,"Polk County, Tennessee"
2038,"Polk County, Texas"
2039,"Polk County, Wisconsin"
2040,"Pondera County, Montana"
2041,"Pontotoc County, Mississippi"
2042,"Pontotoc County, Oklahoma"
2043,"Pope County, Arkansas"
2044,"Pope County, Minnesota"
2045,"Poquoson city, Virginia"
2046,"Portage County, Ohio"
2047,"Portage County, Wisconsin"
2048,"Porter County, Indiana"
2049,"Portsmouth city, Virginia"
2050,"Posey County, Indiana"
2051,"Pottawatomie County, Kansas"
2052,"Pottawatomie County, Oklahoma"
2053,"Pottawattamie County, Iowa"
2054,"Potter County, Pennsylvania"
2055,"Potter County, Texas"
2056,"Powell County, Kentucky"
2057,"Powell County, Montana"
2058,"Power County, Idaho"
2059,"Poweshiek County, Iowa"
2060,"Powhatan County, Virginia"
2061,"Prairie County, Arkansas"
2062,"Pratt County, Kansas"
2063,"Preble County, Ohio"
2064,"Prentiss County, Mississippi"
2065,"Presidio County, Texas"
2066,"Presque Isle County, Michigan"
2067,"Preston County, West Virginia"
2068,"Price County, Wisconsin"
2069,"Prince Edward County, Virginia"
2070,"Prince George County, Virginia"
2071,"Prince William County, Virginia"
2072,"Providence County, Rhode Island"
2073,"Prowers County, Colorado"
2074,"Pueblo County, Colorado"
2075,"Pulaski County, Arkansas"
2076,"Pulaski County, Georgia"
2077,"Pulaski County, Illinois"
2078,"Pulaski County, Indiana"
2079,"Pulaski County, Kentucky"
2080,"Pulaski County, Missouri"
2081,"Pulaski County, Virginia"
2082,"Pushmataha County, Oklahoma"
2083,"Putnam County, Florida"
2084,"Putnam County, Georgia"
2085,"Putnam County, Illinois"
2086,"Putnam County, Indiana"
2087,"Putnam County, Missouri"
2088,"Putnam County, New York"
2089,"Putnam County, Ohio"
2090,"Putnam County, Tennessee"
2091,"Putnam County, West Virginia"
2092,"Quay County, New Mexico"
2093,"Queens County, New York"
2094,"Quitman County, Mississippi"
2095,"Rabun County, Georgia"
2096,"Racine County, Wisconsin"
2097,"Radford city, Virginia"
2098,"Rains County, Texas"
2099,"Raleigh County, West Virginia"
2100,"Ralls County, Missouri"
2101,"Ramsey County, Minnesota"
2102,"Ramsey County, North Dakota"
2103,"Randall County, Texas"
2104,"Randolph County, Alabama"
2105,"Randolph County, Arkansas"
2106,"Randolph County, Georgia"
2107,"Randolph County, Illinois"
2108,"Randolph County, Indiana"
2109,"Randolph County, Missouri"
2110,"Randolph County, North Carolina"
2111,"Randolph County, West Virginia"
2112,"Rankin County, Mississippi"
2113,"Ransom County, North Dakota"
2114,"Rapides County, Louisiana"
2115,"Rappahannock County, Virginia"
2116,"Ravalli County, Montana"
2117,"Ray County, Missouri"
2118,"Reagan County, Texas"
2119,"Red River County, Louisiana"
2120,"Red River County, Texas"
2121,"Red Willow County, Nebraska"
2122,"Redwood County, Minnesota"
2123,"Reeves County, Texas"
2124,"Refugio County, Texas"
2125,"Reno County, Kansas"
2126,"Rensselaer County, New York"
2127,"Renville County, Minnesota"
2128,"Rhea County, Tennessee"
2129,"Rice County, Kansas"
2130,"Rice County, Minnesota"
2131,"Richardson County, Nebraska"
2132,"Richland County, Illinois"
2133,"Richland County, Louisiana"
2134,"Richland County, Montana"
2135,"Richland County, North Dakota"
2136,"Richland County, Ohio"
2137,"Richland County, South Carolina"
2138,"Richland County, Wisconsin"
2139,"Richmond city, Virginia"
2140,"Richmond County, Georgia"
2141,"Richmond County, New York"
2142,"Richmond County, North Carolina"
2143,"Richmond County, Virginia"
2144,"Riley County, Kansas"
2145,"Rio Arriba County, New Mexico"
2146,"Rio Blanco County, Colorado"
2147,"Rio Grande County, Colorado"
2148,"Ripley County, Indiana"
2149,"Ripley County, Missouri"
2150,"Ritchie County, West Virginia"
2151,"Riverside County, California"
2152,"Roane County, Tennessee"
2153,"Roane County, West Virginia"
2154,"Roanoke city, Virginia"
2155,"Roanoke County, Virginia"
2156,"Roberts County, South Dakota"
2157,"Robertson County, Tennessee"
2158,"Robertson County, Texas"
2159,"Robeson County, North Carolina"
2160,"Rock County, Minnesota"
2161,"Rock County, Wisconsin"
2162,"Rock Island County, Illinois"
2163,"Rockbridge County, Virginia"
2164,"Rockcastle County, Kentucky"
2165,"Rockdale County, Georgia"
2166,"Rockingham County, New Hampshire"
2167,"Rockingham County, North Carolina"
2168,"Rockingham County, Virginia"
2169,"Rockland County, New York"
2170,"Rockwall County, Texas"
2171,"Rogers County, Oklahoma"
2172,"Rolette County, North Dakota"
2173,"Roosevelt County, Montana"
2174,"Roosevelt County, New Mexico"
2175,"Roscommon County, Michigan"
2176,"Roseau County, Minnesota"
2177,"Rosebud County, Montana"
2178,"Ross County, Ohio"
2179,"Routt County, Colorado"
2180,"Rowan County, Kentucky"
2181,"Rowan County, North Carolina"
2182,"Runnels County, Texas"
2183,"Rush County, Indiana"
2184,"Rusk County, Texas"
2185,"Rusk County, Wisconsin"
2186,"Russell County, Alabama"
2187,"Russell County, Kansas"
2188,"Russell County, Kentucky"
2189,"Russell County, Virginia"
2190,"Rutherford County, North Carolina"
2191,"Rutherford County, Tennessee"
2192,"Rutland County, Vermont"
2193,"Sabine County, Louisiana"
2194,"Sabine County, Texas"
2195,"Sac County, Iowa"
2196,"Sacramento County, California"
2197,"Sagadahoc County, Maine"
2198,"Saginaw County, Michigan"
2199,"Saguache County, Colorado"
2200,"Salem city, Virginia"
2201,"Salem County, New Jersey"
2202,"Saline County, Arkansas"
2203,"Saline County, Illinois"
2204,"Saline County, Kansas"
2205,"Saline County, Missouri"
2206,"Saline County, Nebraska"
2207,"Salt Lake County, Utah"
2208,"Saluda County, South Carolina"
2209,"Sampson County, North Carolina"
2210,"San Augustine County, Texas"
2211,"San Benito County, California"
2212,"San Bernardino County, California"
2213,"San Diego County, California"
2214,"San Francisco County, California"
2215,"San Jacinto County, Texas"
2216,"San Joaquin County, California"
2217,"San Juan County, New Mexico"
2218,"San Juan County, Utah"
2219,"San Juan County, Washington"
2220,"San Luis Obispo County, California"
2221,"San Mateo County, California"
2222,"San Miguel County, Colorado"
2223,"San Miguel County, New Mexico"
2224,"San Patricio County, Texas"
2225,"San Saba County, Texas"
2226,"Sanders County, Montana"
2227,"Sandoval County, New Mexico"
2228,"Sandusky County, Ohio"
2229,"Sangamon County, Illinois"
2230,"Sanilac County, Michigan"
2231,"Sanpete County, Utah"
2232,"Santa Barbara County, California"
2233,"Santa Clara County, California"
2234,"Santa Cruz County, Arizona"
2235,"Santa Cruz County, California"
2236,"Santa Fe County, New Mexico"
2237,"Santa Rosa County, Florida"
2238,"Sarasota County, Florida"
2239,"Saratoga County, New York"
2240,"Sarpy County, Nebraska"
2241,"Sauk County, Wisconsin"
2242,"Saunders County, Nebraska"
2243,"Sawyer County, Wisconsin"
2244,"Schenectady County, New York"
2245,"Schley County, Georgia"
2246,"Schoharie County, New York"
2247,"Schoolcraft County, Michigan"
2248,"Schuyler County, Illinois"
2249,"Schuyler County, New York"
2250,"Schuylkill County, Pennsylvania"
2251,"Scioto County, Ohio"
2252,"Scotland County, North Carolina"
2253,"Scott County, Arkansas"
2254,"Scott County, Indiana"
2255,"Scott County, Iowa"
2256,"Scott County, Kansas"
2257,"Scott County, Kentucky"
2258,"Scott County, Minnesota"
2259,"Scott County, Mississippi"
2260,"Scott County, Missouri"
2261,"Scott County, Tennessee"
2262,"Scott County, Virginia"
2263,"Scotts Bluff County, Nebraska"
2264,"Screven County, Georgia"
2265,"Scurry County, Texas"
2266,"Searcy County, Arkansas"
2267,"Sebastian County, Arkansas"
2268,"Sedgwick County, Kansas"
2269,"Seminole County, Florida"
2270,"Seminole County, Georgia"
2271,"Seminole County, Oklahoma"
2272,"Seneca County, New York"
2273,"Seneca County, Ohio"
2274,"Sequatchie County, Tennessee"
2275,"Sequoyah County, Oklahoma"
2276,"Sevier County, Arkansas"
2277,"Sevier County, Tennessee"
2278,"Sevier County, Utah"
2279,"Seward County, Kansas"
2280,"Seward County, Nebraska"
2281,"Shannon County, Missouri"
2282,"Shannon County, South Dakota"
2283,"Sharp County, Arkansas"
2284,"Shasta County, California"
2285,"Shawano County, Wisconsin"
2286,"Shawnee County, Kansas"
2287,"Sheboygan County, Wisconsin"
2288,"Shelby County, Alabama"
2289,"Shelby County, Illinois"
2290,"Shelby County, Indiana"
2291,"Shelby County, Iowa"
2292,"Shelby County, Kentucky"
2293,"Shelby County, Missouri"
2294,"Shelby County, Ohio"
2295,"Shelby County, Tennessee"
2296,"Shelby County, Texas"
2297,"Shenandoah County, Virginia"
2298,"Sherburne County, Minnesota"
2299,"Sheridan County, Wyoming"
2300,"Sherman County, Kansas"
2301,"Sherman County, Oregon"
2302,"Sherman County, Texas"
2303,"Shiawassee County, Michigan"
2304,"Shoshone County, Idaho"
2305,"Sibley County, Minnesota"
2306,"Sierra County, New Mexico"
2307,"Silver Bow County, Montana"
2308,"Simpson County, Kentucky"
2309,"Simpson County, Mississippi"
2310,"Sioux County, Iowa"
2311,"Siskiyou County, California"
2312,"Skagit County, Washington"
2313,"Skamania County, Washington"
2314,"Smith County, Mississippi"
2315,"Smith County, Tennessee"
2316,"Smith County, Texas"
2317,"Smyth County, Virginia"
2318,"Snohomish County, Washington"
2319,"Snyder County, Pennsylvania"
2320,"Socorro County, New Mexico"
2321,"Solano County, California"
2322,"Somerset County, Maine"
2323,"Somerset County, Maryland"
2324,"Somerset County, New Jersey"
2325,"Somerset County, Pennsylvania"
2326,"Somervell County, Texas"
2327,"Sonoma County, California"
2328,"Southampton County, Virginia"
2329,"Spalding County, Georgia"
2330,"Spartanburg County, South Carolina"
2331,"Spencer County, Indiana"
2332,"Spencer County, Kentucky"
2333,"Spink County, South Dakota"
2334,"Spokane County, Washington"
2335,"Spotsylvania County, Virginia"
2336,"St. Charles County, Missouri"
2337,"St. Clair County, Alabama"
2338,"St. Clair County, Illinois"
2339,"St. Clair County, Michigan"
2340,"St. Clair County, Missouri"
2341,"St. Croix County, Wisconsin"
2342,"St. Francis County, Arkansas"
2343,"St. Francois County, Missouri"
2344,"St. Johns County, Florida"
2345,"St. Joseph County, Indiana"
2346,"St. Joseph County, Michigan"
2347,"St. Lawrence County, New York"
2348,"St. Louis County, Minnesota"
2349,"St. Louis County, Missouri"
2350,"St. Lucie County, Florida"
2351,"Stafford County, Virginia"
2352,"Stanislaus County, California"
2353,"Stanly County, North Carolina"
2354,"Stanton County, Nebraska"
2355,"Stark County, Illinois"
2356,"Stark County, North Dakota"
2357,"Stark County, Ohio"
2358,"Starke County, Indiana"
2359,"Starr County, Texas"
2360,"Staunton city, Virginia"
2361,"Ste. Genevieve County, Missouri"
2362,"Stearns County, Minnesota"
2363,"Steele County, Minnesota"
2364,"Stephens County, Georgia"
2365,"Stephens County, Oklahoma"
2366,"Stephens County, Texas"
2367,"Stephenson County, Illinois"
2368,"Steuben County, Indiana"
2369,"Steuben County, New York"
2370,"Stevens County, Kansas"
2371,"Stevens County, Minnesota"
2372,"Stevens County, Washington"
2373,"Stewart County, Tennessee"
2374,"Stillwater County, Montana"
2375,"Stoddard County, Missouri"
2376,"Stokes County, North Carolina"
2377,"Stone County, Arkansas"
2378,"Stone County, Mississippi"
2379,"Stone County, Missouri"
2380,"Storey County, Nevada"
2381,"Story County, Iowa"
2382,"Strafford County, New Hampshire"
2383,"Stutsman County, North Dakota"
2384,"Sublette County, Wyoming"
2385,"Suffolk city, Virginia"
2386,"Suffolk County, Massachusetts"
2387,"Suffolk County, New York"
2388,"Sullivan County, Indiana"
2389,"Sullivan County, Missouri"
2390,"Sullivan County, New Hampshire"
2391,"Sullivan County, New York"
2392,"Sullivan County, Pennsylvania"
2393,"Sullivan County, Tennessee"
2394,"Summers County, West Virginia"
2395,"Summit County, Colorado"
2396,"Summit County, Ohio"
2397,"Summit County, Utah"
2398,"Sumner County, Kansas"
2399,"Sumner County, Tennessee"
2400,"Sumter County, Alabama"
2401,"Sumter County, Florida"
2402,"Sumter County, Georgia"
2403,"Sumter County, South Carolina"
2404,"Sunflower County, Mississippi"
2405,"Surry County, North Carolina"
2406,"Surry County, Virginia"
2407,"Susquehanna County, Pennsylvania"
2408,"Sussex County, Delaware"
2409,"Sussex County, New Jersey"
2410,"Sussex County, Virginia"
2411,"Sutter County, California"
2412,"Sutton County, Texas"
2413,"Suwannee County, Florida"
2414,"Swain County, North Carolina"
2415,"Sweetwater County, Wyoming"
2416,"Swift County, Minnesota"
2417,"Swisher County, Texas"
2418,"Switzerland County, Indiana"
2419,"Talbot County, Georgia"
2420,"Talbot County, Maryland"
2421,"Talladega County, Alabama"
2422,"Tallahatchie County, Mississippi"
2423,"Tallapoosa County, Alabama"
2424,"Tama County, Iowa"
2425,"Taney County, Missouri"
2426,"Tangipahoa County, Louisiana"
2427,"Taos County, New Mexico"
2428,"Tarrant County, Texas"
2429,"Tate County, Mississippi"
2430,"Tattnall County, Georgia"
2431,"Taylor County, Florida"
2432,"Taylor County, Georgia"
2433,"Taylor County, Iowa"
2434,"Taylor County, Kentucky"
2435,"Taylor County, Texas"
2436,"Taylor County, West Virginia"
2437,"Taylor County, Wisconsin"
2438,"Tazewell County, Illinois"
2439,"Tazewell County, Virginia"
2440,"Tehama County, California"
2441,"Telfair County, Georgia"
2442,"Teller County, Colorado"
2443,"Terrebonne County, Louisiana"
2444,"Terrell County, Georgia"
2445,"Terry County, Texas"
2446,"Teton County, Idaho"
2447,"Teton County, Montana"
2448,"Teton County, Wyoming"
2449,"Texas County, Missouri"
2450,"Texas County, Oklahoma"
2451,"Thayer County, Nebraska"
2452,"Thomas County, Georgia"
2453,"Thomas County, Kansas"
2454,"Thurston County, Nebraska"
2455,"Thurston County, Washington"
2456,"Tift County, Georgia"
2457,"Tillamook County, Oregon"
2458,"Tillman County, Oklahoma"
2459,"Tioga County, New York"
2460,"Tioga County, Pennsylvania"
2461,"Tippah County, Mississippi"
2462,"Tippecanoe County, Indiana"
2463,"Tipton County, Indiana"
2464,"Tipton County, Tennessee"
2465,"Tishomingo County, Mississippi"
2466,"Titus County, Texas"
2467,"Todd County, Kentucky"
2468,"Todd County, Minnesota"
2469,"Todd County, South Dakota"
2470,"Tolland County, Connecticut"
2471,"Tom Green County, Texas"
2472,"Tompkins County, New York"
2473,"Tooele County, Utah"
2474,"Toombs County, Georgia"
2475,"Torrance County, New Mexico"
2476,"Towns County, Georgia"
2477,"Traill County, North Dakota"
2478,"Transylvania County, North Carolina"
2479,"Travis County, Texas"
2480,"Trego County, Kansas"
2481,"Trempealeau County, Wisconsin"
2482,"Treutlen County, Georgia"
2483,"Trigg County, Kentucky"
2484,"Trimble County, Kentucky"
2485,"Trinity County, California"
2486,"Trinity County, Texas"
2487,"Tripp County, South Dakota"
2488,"Troup County, Georgia"
2489,"Trousdale County, Tennessee"
2490,"Trumbull County, Ohio"
2491,"Tucker County, West Virginia"
2492,"Tulare County, California"
2493,"Tulsa County, Oklahoma"
2494,"Tunica County, Mississippi"
2495,"Tuolumne County, California"
2496,"Turner County, Georgia"
2497,"Turner County, South Dakota"
2498,"Tuscaloosa County, Alabama"
2499,"Tuscarawas County, Ohio"
2500,"Tuscola County, Michigan"
2501,"Twiggs County, Georgia"
2502,"Twin Falls County, Idaho"
2503,"Tyler County, Texas"
2504,"Tyler County, West Virginia"
2505,"Uinta County, Wyoming"
2506,"Uintah County, Utah"
2507,"Ulster County, New York"
2508,"Umatilla County, Oregon"
2509,"Unicoi County, Tennessee"
2510,"Union County, Arkansas"
2511,"Union County, Florida"
2512,"Union County, Georgia"
2513,"Union County, Illinois"
2514,"Union County, Indiana"
2515,"Union County, Iowa"
2516,"Union County, Kentucky"
2517,"Union County, Louisiana"
2518,"Union County, Mississippi"
2519,"Union County, New Jersey"
2520,"Union County, New Mexico"
2521,"Union County, North Carolina"
2522,"Union County, Ohio"
2523,"Union County, Oregon"
2524,"Union County, Pennsylvania"
2525,"Union County, South Carolina"
2526,"Union County, South Dakota"
2527,"Union County, Tennessee"
2528,"Upshur County, Texas"
2529,"Upshur County, West Virginia"
2530,"Upson County, Georgia"
2531,"Upton County, Texas"
2532,"Utah County, Utah"
2533,"Uvalde County, Texas"
2534,"Val Verde County, Texas"
2535,"Valencia County, New Mexico"
2536,"Valley County, Idaho"
2537,"Valley County, Montana"
2538,"Van Buren County, Arkansas"
2539,"Van Buren County, Iowa"
2540,"Van Buren County, Michigan"
2541,"Van Buren County, Tennessee"
2542,"Van Wert County, Ohio"
2543,"Van Zandt County, Texas"
2544,"Vance County, North Carolina"
2545,"Vanderburgh County, Indiana"
2546,"Venango County, Pennsylvania"
2547,"Ventura County, California"
2548,"Vermilion County, Illinois"
2549,"Vermilion County, Louisiana"
2550,"Vermillion County, Indiana"
2551,"Vernon County, Louisiana"
2552,"Vernon County, Missouri"
2553,"Vernon County, Wisconsin"
2554,"Victoria County, Texas"
2555,"Vigo County, Indiana"
2556,"Vilas County, Wisconsin"
2557,"Vinton County, Ohio"
2558,"Virginia Beach city, Virginia"
2559,"Volusia County, Florida"
2560,"Wabash County, Illinois"
2561,"Wabash County, Indiana"
2562,"Wabasha County, Minnesota"
2563,"Wabaunsee County, Kansas"
2564,"Wadena County, Minnesota"
2565,"Wagoner County, Oklahoma"
2566,"Wake County, North Carolina"
2567,"Wakulla County, Florida"
2568,"Waldo County, Maine"
2569,"Walker County, Alabama"
2570,"Walker County, Georgia"
2571,"Walker County, Texas"
2572,"Walla Walla County, Washington"
2573,"Waller County, Texas"
2574,"Wallowa County, Oregon"
2575,"Walsh County, North Dakota"
2576,"Walthall County, Mississippi"
2577,"Walton County, Florida"
2578,"Walton County, Georgia"
2579,"Walworth County, South Dakota"
2580,"Walworth County, Wisconsin"
2581,"Wapello County, Iowa"
2582,"Ward County, North Dakota"
2583,"Ward County, Texas"
2584,"Ware County, Georgia"
2585,"Warren County, Georgia"
2586,"Warren County, Illinois"
2587,"Warren County, Indiana"
2588,"Warren County, Iowa"
2589,"Warren County, Kentucky"
2590,"Warren County, Mississippi"
2591,"Warren County, Missouri"
2592,"Warren County, New Jersey"
2593,"Warren County, New York"
2594,"Warren County, North Carolina"
2595,"Warren County, Ohio"
2596,"Warren County, Pennsylvania"
2597,"Warren County, Tennessee"
2598,"Warren County, Virginia"
2599,"Warrick County, Indiana"
2600,"Wasatch County, Utah"
2601,"Wasco County, Oregon"
2602,"Waseca County, Minnesota"
2603,"Washakie County, Wyoming"
2604,"Washburn County, Wisconsin"
2605,"Washington County, Alabama"
2606,"Washington County, Arkansas"
2607,"Washington County, Florida"
2608,"Washington County, Georgia"
2609,"Washington County, Idaho"
2610,"Washington County, Illinois"
2611,"Washington County, Indiana"
2612,"Washington County, Iowa"
2613,"Washington County, Kansas"
2614,"Washington County, Kentucky"
2615,"Washington County, Louisiana"
2616,"Washington County, Maine"
2617,"Washington County, Maryland"
2618,"Washington County, Minnesota"
2619,"Washington County, Mississippi"
2620,"Washington County, Missouri"
2621,"Washington County, Nebraska"
2622,"Washington County, New York"
2623,"Washington County, North Carolina"
2624,"Washington County, Ohio"
2625,"Washington County, Oklahoma"
2626,"Washington County, Oregon"
2627,"Washington County, Pennsylvania"
