Region	Category	2020-02-16	2020-02-17	2020-02-18	2020-02-19	2020-02-20	2020-02-21	2020-02-22	2020-02-23	2020-02-24	2020-02-25	2020-02-26	2020-02-27	2020-02-28	2020-02-29	2020-03-01	2020-03-02	2020-03-03	2020-03-04	2020-03-05	2020-03-06	2020-03-07	2020-03-08	2020-03-09	2020-03-10	2020-03-11	2020-03-12	2020-03-13	2020-03-14	2020-03-15	2020-03-16	2020-03-17	2020-03-18	2020-03-19	2020-03-20	2020-03-21	2020-03-22	2020-03-23	2020-03-24	2020-03-25	2020-03-26	2020-03-27	2020-03-28	2020-03-29
Fairbanks North Star	Transit stations	1.0	7.0	7.0	2.0	5.0	15.5	1.0	-4.0	1.5	0.0	10.0	12.0	5.5	-5.5	14.5	2.5	1.0	7.0	1.0	3.0	-12.0	4.5	1.5	-9.5	2.0	-1.0	-5.0	-9.5	-12.0	-13.0	-26.0	-25.0	-30.0	-40.0	-54.0	-57.0	-53.0	-57.5	-56.0	-56.0	-63.5	-70.5	-75.0
Fairbanks North Star	Workplace	-9.0	-27.5	-7.0	-3.0	3.5	9.0	6.0	2.5	5.0	3.0	2.5	4.0	13.0	10.0	9.0	7.0	5.0	3.0	4.0	10.5	4.0	2.5	-6.0	-8.5	-10.0	-10.0	-6.0	2.0	-1.0	-5.0	-12.5	-20.5	-23.0	-21.0	-22.0	-25.0	-32.5	-35.0	-41.0	-38.0	-34.0	-26.5	-31.0
Fairbanks North Star	Residential	0.5	7.0	2.0	1.0	-1.0	-1.5	-1.0	-1.0	-1.0	-1.0	-0.5	-1.0	-2.5	-1.5	-2.5	-2.0	-1.0	0.0	0.0	-1.0	-1.0	-2.0	1.0	3.0	3.0	2.0	2.0	0.5	0.0	2.0	6.0	10.0	10.5	12.0	9.5			16.0	19.0	17.5	17.5	12.0	
Juneau	Retail & recreation	-5.0	-7.0	-0.5	-3.0	-1.0	1.0	0.0	-12.0	0.0	2.0	-2.0	1.5	6.5	10.0	7.0	9.0	7.0	3.0	7.0	1.5	8.0	-5.5	1.5	5.0	3.5	15.5	12.0	12.5	11.0	5.0	-3.5	-17.0	-23.0	-29.5	-39.5	-43.0	-33.5	-30.5	-51.5	-51.0	-52.0	-57.0	-61.0
Juneau	Grocery & pharmacy	-5.5	-4.0	1.0	-7.0	-5.5	-5.0	-5.5	-7.0	0.0	-4.0	-1.0	2.0	-3.0	-3.0	2.0	7.5	6.0	-0.5	4.0	-2.5	-2.0	-7.5	1.0	6.0	2.0	13.5	14.0	10.0	3.5	5.5	7.5	-1.5	2.5	-7.5	-15.0	-14.5	-13.0	-9.5	-27.0	-22.0	-27.0	-29.0	-34.5
Juneau	Parks															-35.0																												
Juneau	Transit stations	-1.5			3.0	5.0	13.5	-3.0	-6.5	8.5	-1.0	-11.0	-1.0			-9.5	6.0	7.5	9.0	6.0	15.0		-2.0	11.0	13.0	1.5	8.5	9.0	2.5	-5.0	-3.0	-6.5	-19.5	-8.0	-13.0	-31.5	-36.0	-30.5	-35.0	-46.5	-45.0	-52.5	-53.5	-64.0
Juneau	Workplace	-11.5	-33.0	1.5	0.5	2.0	3.0	2.0	-0.5	0.5	0.5	-1.5	0.5	2.5	8.5	4.5	2.5	2.0	1.5	1.5	3.0	2.5	-4.5	2.0	3.0	1.5	0.0	-5.5	-5.0	0.5	-9.5	-12.0	-17.0	-21.0	-23.0	-8.0	-17.0	-30.5	-36.0	-42.0	-43.5	-43.0	-32.0	-31.0
Juneau	Residential			-1.0	0.0	0.5				-1.0	0.0	0.0	-0.5				0.0	0.0	0.5	-1.0				-0.5	0.5	-0.5	-0.5																	
Kenai Peninsula Borough	Retail & recreation	9.0	-3.5	-4.5	-2.5	-1.5	-9.0	4.0	15.5	6.5	5.5	9.0	6.5	9.5	6.0	8.0	9.5	10.0	10.0	8.0	2.0	1.0	2.5	12.5	16.0	12.0	11.5	4.0	4.0	14.5	6.5	-11.5	-14.0	-25.0	-26.5	-35.5	-26.0	-24.0	-31.0	-36.0	-36.0	-36.0	-40.0	-48.0
