"","Region","State"
"131","Bertie County","North Carolina"
"132","Bexar County","Texas"
"133","Bibb County","Alabama"
"134","Bienville County","Louisiana"
"135","Big Horn County","Montana"
"136","Big Stone County","Minnesota"
"137","Bingham County","Idaho"
"138","Black Hawk County","Iowa"
"139","Blackford County","Indiana"
"140","Bladen County","North Carolina"
"141","Blaine County","Idaho"
"142","Blair County","Pennsylvania"
"143","Blanco County","Texas"
"144","Bland County","Virginia"
"145","Bleckley County","Georgia"
"146","Bledsoe County","Tennessee"
"147","Blount County","Alabama"
"148","Blue Earth County","Minnesota"
"149","Boise County","Idaho"
"150","Bolivar County","Mississippi"
"151","Bollinger County","Missouri"
"152","Bon Homme County","South Dakota"
"153","Bond County","Illinois"
"154","Bonner County","Idaho"
"155","Bonneville County","Idaho"
"156","Boone County","Arkansas"
"157","Bosque County","Texas"
"158","Bossier County","Louisiana"
"159","Botetourt County","Virginia"
"160","Bottineau County","North Dakota"
"161","Boulder County","Colorado"
"162","Boundary County","Idaho"
"163","Bourbon County","Kansas"
"164","Bowie County","Texas"
"165","Box Butte County","Nebraska"
"166","Box Elder County","Utah"
"167","Boyd County","Kentucky"
"168","Boyle County","Kentucky"
"169","Bracken County","Kentucky"
"170","Bradford County","Florida"
"171","Bradley County","Arkansas"
"172","Branch County","Michigan"
"173","Brantley County","Georgia"
"174","Braxton County","West Virginia"
"175","Brazoria County","Texas"
"176","Brazos County","Texas"
"177","Breathitt County","Kentucky"
"178","Breckinridge County","Kentucky"
"179","Bremer County","Iowa"
"180","Brevard County","Florida"
"181","Brewster County","Texas"
"182","Bristol city","Virginia"
"183","Bristol County","Massachusetts"
"184","Broadwater County","Montana"
"185","Bronx County","New York"
"186","Brooke County","West Virginia"
"187","Brookings County","South Dakota"
"188","Brooks County","Georgia"
"189","Broome County","New York"
"190","Broomfield County","Colorado"
"191","Broward County","Florida"
"192","Brown County","Indiana"
"193","Brule County","South Dakota"
"194","Brunswick County","North Carolina"
"195","Bryan County","Georgia"
"196","Buchanan County","Iowa"
"197","Buckingham County","Virginia"
"198","Bucks County","Pennsylvania"
"199","Buena Vista city","Virginia"
"200","Buena Vista County","Iowa"
"201","Buffalo County","Nebraska"
"202","Bullitt County","Kentucky"
"203","Bulloch County","Georgia"
"204","Bullock County","Alabama"
"205","Buncombe County","North Carolina"
"206","Bureau County","Illinois"
"207","Burke County","Georgia"
"208","Burleigh County","North Dakota"
"209","Burleson County","Texas"
"210","Burlington County","New Jersey"
"211","Burnet County","Texas"
"212","Burnett County","Wisconsin"
"213","Burt County","Nebraska"
"214","Butler County","Alabama"
"215","Butte County","California"
"216","Butts County","Georgia"
"217","Cabarrus County","North Carolina"
"218","Cabell County","West Virginia"
"219","Cache County","Utah"
"220","Caddo County","Louisiana"
"221","Calaveras County","California"
"222","Calcasieu County","Louisiana"
"223","Caldwell County","Kentucky"
"224","Caledonia County","Vermont"
"225","Calhoun County","Alabama"
"226","Callahan County","Texas"
"227","Callaway County","Missouri"
"228","Calloway County","Kentucky"
"229","Calumet County","Wisconsin"
"230","Calvert County","Maryland"
"231","Cambria County","Pennsylvania"
"232","Camden County","Georgia"
"233","Cameron County","Louisiana"
"234","Camp County","Texas"
"235","Campbell County","Kentucky"
"236","Canadian County","Oklahoma"
"237","Candler County","Georgia"
"238","Cannon County","Tennessee"
"239","Canyon County","Idaho"
"240","Cape Girardeau County","Missouri"
"241","Cape May County","New Jersey"
"242","Carbon County","Montana"
